,Unnamed: 0,area_type,balcony,price,bhk
416,416,Super built-up  Area,2.00,62.00,2.00
417,417,Plot  Area,2.00,150.00,3.00
418,418,Plot  Area,1.00,55.00,2.00
419,419,Built-up  Area,2.00,31.48,2.00
420,420,Plot  Area,0.00,60.00,2.00
421,421,Super built-up  Area,2.00,103.00,3.00
422,422,Super built-up  Area,1.00,26.50,2.00
423,423,Super built-up  Area,1.00,75.00,2.00
424,424,Built-up  Area,2.00,67.00,2.00
425,425,Plot  Area,3.00,85.00,6.00
426,426,Super built-up  Area,2.00,79.00,3.00
427,427,Super built-up  Area,2.00,55.00,2.00
428,428,Super built-up  Area,1.00,55.00,2.00
429,429,Super built-up  Area,2.00,140.00,3.00
430,430,Built-up  Area,0.00,69.00,2.00
431,431,Super built-up  Area,3.00,69.00,2.00
432,432,Super built-up  Area,2.00,47.12,2.00
433,433,Super built-up  Area,2.00,48.10,2.00
434,434,Plot  Area,0.00,250.00,8.00
435,435,Super built-up  Area,0.00,240.00,3.00
436,436,Super built-up  Area,2.00,55.00,3.00
437,437,Super built-up  Area,2.00,68.29,3.00
438,438,Super built-up  Area,1.00,40.00,2.00
439,439,Plot  Area,3.00,110.00,3.00
440,440,Plot  Area,3.00,700.00,4.00
441,441,Super built-up  Area,1.00,76.00,2.00
442,442,Super built-up  Area,1.00,95.00,3.00
443,443,Super built-up  Area,3.00,57.00,3.00
444,444,Super built-up  Area,2.00,100.00,3.00
445,445,Super built-up  Area,1.00,71.00,2.00
446,446,Super built-up  Area,2.00,95.00,3.00
447,447,Built-up  Area,1.00,34.65,1.00
448,448,Super built-up  Area,2.00,135.00,3.00
449,449,Super built-up  Area,2.00,78.00,3.00
450,450,Super built-up  Area,1.00,55.47,2.00
451,451,Plot  Area,2.00,252.00,3.00
452,452,Super built-up  Area,1.00,74.03,2.00
453,453,Plot  Area,2.00,200.00,4.00
454,454,Super built-up  Area,2.00,55.00,2.00
455,455,Built-up  Area,3.00,325.00,4.00
456,456,Super built-up  Area,2.00,30.35,3.00
457,457,Super built-up  Area,2.00,98.00,3.00
458,458,Super built-up  Area,1.00,46.96,2.00
459,459,Super built-up  Area,3.00,360.00,11.00
460,460,Super built-up  Area,0.00,120.00,3.00
461,461,Super built-up  Area,1.00,35.23,3.00
462,462,Super built-up  Area,1.00,30.00,2.00
463,463,Built-up  Area,2.00,63.00,2.00
464,464,Built-up  Area,2.00,50.00,2.00
465,465,Super built-up  Area,2.00,126.00,2.00
466,466,Super built-up  Area,2.00,130.00,3.00
467,467,Super built-up  Area,3.00,110.00,3.00
468,468,Super built-up  Area,1.00,54.00,2.00
469,469,Plot  Area,2.00,220.00,4.00
470,470,Plot  Area,0.00,95.00,2.00
471,471,Super built-up  Area,1.00,40.00,2.00
472,472,Built-up  Area,1.00,230.00,4.00
473,473,Super built-up  Area,1.00,42.16,2.00
474,474,Super built-up  Area,1.00,165.00,2.00
475,475,Super built-up  Area,1.00,98.00,2.00
476,476,Built-up  Area,1.00,62.00,2.00
477,477,Super built-up  Area,0.00,235.00,4.00
478,478,Super built-up  Area,1.00,74.00,2.00
479,479,Super built-up  Area,0.00,50.17,2.00
480,480,Built-up  Area,2.00,260.00,4.00
481,481,Plot  Area,3.00,180.00,4.00
482,482,Plot  Area,2.00,65.00,5.00
483,483,Plot  Area,2.00,190.00,5.00
484,484,Super built-up  Area,2.00,56.00,3.00
485,485,Super built-up  Area,3.00,400.00,4.00
486,486,Plot  Area,2.00,99.00,4.00
487,487,Super built-up  Area,1.00,49.00,2.00
488,488,Super built-up  Area,2.00,60.00,2.00
489,489,Super built-up  Area,2.00,120.00,3.00
490,490,Super built-up  Area,3.00,337.00,5.00
491,491,Plot  Area,2.00,58.00,3.00
492,492,Super built-up  Area,2.00,94.42,2.00
493,493,Built-up  Area,3.00,52.50,2.00
494,494,Super built-up  Area,1.00,63.00,2.00
495,495,Super built-up  Area,1.00,53.00,2.00
496,496,Super built-up  Area,1.00,45.00,2.00
497,497,Built-up  Area,1.00,32.00,2.00
498,498,Super built-up  Area,1.00,36.00,3.00
499,499,Super built-up  Area,1.00,48.50,2.00
500,500,Plot  Area,1.00,45.00,2.00
501,501,Super built-up  Area,1.00,95.00,3.00
502,502,Built-up  Area,1.00,58.00,3.00
503,503,Super built-up  Area,1.00,68.75,3.00
504,504,Built-up  Area,0.00,26.00,1.00
505,505,Super built-up  Area,3.00,38.00,2.00
506,506,Super built-up  Area,1.00,40.00,2.00
507,507,Super built-up  Area,1.00,35.00,2.00
508,508,Super built-up  Area,1.00,45.00,2.00
509,509,Super built-up  Area,1.00,70.00,2.00
510,510,Plot  Area,1.00,165.00,4.00
511,511,Built-up  Area,0.00,41.00,1.00
512,512,Super built-up  Area,1.00,67.00,2.00
513,513,Plot  Area,2.00,90.00,4.00
514,514,Plot  Area,2.00,145.00,4.00
515,515,Super built-up  Area,1.00,80.00,4.00
516,516,Super built-up  Area,3.00,154.00,4.00
517,517,Super built-up  Area,0.00,65.00,3.00
518,518,Plot  Area,1.00,275.00,4.00
519,519,Built-up  Area,2.00,48.00,3.00
520,520,Built-up  Area,2.00,115.00,3.00
521,521,Super built-up  Area,2.00,110.00,2.00
522,522,Super built-up  Area,2.00,125.00,3.00
523,523,Super built-up  Area,1.00,70.00,2.00
524,524,Super built-up  Area,1.00,465.00,4.00
525,525,Super built-up  Area,2.00,42.74,2.00
526,526,Built-up  Area,0.00,85.00,1.00
527,527,Super built-up  Area,1.00,25.00,2.00
528,528,Super built-up  Area,0.00,120.00,4.00
529,529,Built-up  Area,1.00,160.00,3.00
530,530,Super built-up  Area,1.00,47.00,2.00
531,531,Super built-up  Area,1.00,45.50,2.00
532,532,Super built-up  Area,2.00,45.00,2.00
533,533,Super built-up  Area,1.00,66.00,3.00
534,534,Super built-up  Area,1.00,245.00,3.00
535,535,Super built-up  Area,2.00,48.48,3.00
536,536,Super built-up  Area,1.00,68.00,2.00
537,537,Super built-up  Area,2.00,49.00,3.00
538,538,Super built-up  Area,3.00,210.00,9.00
539,539,Built-up  Area,1.00,528.00,5.00
540,540,Super built-up  Area,1.00,39.73,2.00
541,541,Built-up  Area,2.00,101.00,3.00
542,542,Built-up  Area,1.00,90.00,3.00
543,543,Super built-up  Area,2.00,99.00,3.00
544,544,Plot  Area,1.00,61.95,3.00
545,545,Plot  Area,0.00,499.00,3.00
546,546,Super built-up  Area,2.00,63.00,2.00
547,547,Built-up  Area,1.00,140.00,5.00
548,548,Super built-up  Area,0.00,50.00,3.00
549,549,Super built-up  Area,0.00,63.77,2.00
550,550,Super built-up  Area,2.00,260.00,3.00
551,551,Super built-up  Area,2.00,53.67,2.00
552,552,Super built-up  Area,2.00,54.00,2.00
553,553,Super built-up  Area,2.00,42.00,3.00
554,554,Plot  Area,0.00,145.00,6.00
555,555,Plot  Area,1.00,80.00,2.00
556,556,Built-up  Area,1.00,40.00,2.00
557,557,Super built-up  Area,1.00,27.25,1.00
558,558,Built-up  Area,1.00,25.00,2.00
559,559,Plot  Area,3.00,175.00,4.00
560,560,Super built-up  Area,1.00,80.00,2.00
561,561,Super built-up  Area,1.00,33.32,1.00
562,562,Built-up  Area,2.00,50.00,2.00
563,563,Super built-up  Area,1.00,160.00,3.00
564,564,Super built-up  Area,1.00,28.15,2.00
565,565,Super built-up  Area,1.00,84.00,3.00
566,566,Plot  Area,1.00,300.00,4.00
567,567,Super built-up  Area,3.00,100.00,3.00
568,568,Super built-up  Area,2.00,86.00,3.00
